empresa,estado,cidade,segmento,area,assunto,problema,data_abertura,classificacao,nota_satisfacao,ano,mes
Casasbahia.com,RJ,Rio de Janeiro,Comércio Eletrônico,Demais Produtos,Móveis e Colchões,Dificuldade de contato / demora no atendimento,2026-03-27,Não Avaliada,,2026,3
Banrisul,RS,Cruzeiro do Sul,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Seguro Prestamista,Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,2026-01-09,Não Avaliada,,2026,1
Facta Financeira,SP,São Paulo,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS),Portabilidade não efetivada,2026-01-05,Não Avaliada,,2026,1
Banco Santander,PR,Curitiba,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,"Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)",2026-03-09,Não Resolvida,1.0,2026,3
Gazin.com.br,RO,Ji-Paraná,Comércio Eletrônico,Produtos Eletrodomésticos e Eletrônicos,Refrigerador / freezer,Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia,2026-01-07,Resolvida,5.0,2026,1
Tim,PA,Belém,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Pacote de Serviços ( Combo ),Cobrança após cancelamento do serviço,2026-01-02,Não Avaliada,,2026,1
Azul Linhas Aéreas,MA,São Luís,Transporte Aéreo,Transportes,Aéreo,"Inadequação dos serviços a pessoas com necessidade de assistência especial (embarque, assento, equipamentos etc)",2026-03-31,Não Avaliada,,2026,3
Casasbahia.com,SP,São Paulo,Comércio Eletrônico,Demais Produtos,Móveis e Colchões,Não entrega / demora na entrega do produto,2026-01-06,Resolvida,5.0,2026,1
Nubank,RO,Candeias do Jamari,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Dificuldade de acesso a dados pessoais ou financeiros,2026-01-03,Não Avaliada,,2026,1
Serasa Experian,SC,Tubarão,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-01-01,Não Avaliada,,2026,1
Mercado Livre,BA,Itabuna,Empresas de Intermediação de Serviços / Negócios,Produtos de Telefonia e Informática,Microcomputador e laptops,Cobrança de valor para a devolução do produto,2026-01-06,Não Resolvida,1.0,2026,1
Serasa Experian,CE,Fortaleza,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Score / Pontuação de Crédito,Ligações indesejadas de telemarketing (0303),2026-01-05,Não Avaliada,,2026,1
Caixa Vida e Previdência,SP,São Paulo,"Seguros, Capitalização e Previdência",Serviços Financeiros,Demais Seguros,Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,2026-01-09,Não Avaliada,,2026,1
Banco do Brasil,PI,Teresina,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Renegociação / parcelamento de dívida,2026-01-05,Não Avaliada,,2026,1
Senff,PR,Araucária,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Renegociação / parcelamento de dívida,2026-01-08,Não Resolvida,1.0,2026,1
