empresa,estado,cidade,segmento,area,assunto,problema,data_abertura,classificacao,nota_satisfacao,ano,mes
Serasa Experian,SP,São Paulo,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-01-04,Não Avaliada,,2026,1
Recovery do Brasil Consultoria,SP,São Paulo,Empresas de Recuperação de Crédito,Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Cobrança em duplicidade / Cobrança referente a pagamento já efetuado,2026-01-08,Não Avaliada,,2026,1
PicPay,MS,Dourados,Empresas de Pagamento Eletrônico,Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),SAC - Dificuldade para cancelar o serviço,2026-04-06,Não Avaliada,,2026,4
Bradesco Financiamentos,SC,Videira,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS),Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-02-13,,,2026,2
Ativos S.A,SP,São Paulo,Empresas de Recuperação de Crédito,Serviços Financeiros,Conta corrente / Salário / Poupança /Conta Aposentadoria,SAC - Descortesia / despreparo / demora,2026-01-07,Não Avaliada,,2026,1
Mercado Livre,BA,Salvador,Empresas de Intermediação de Serviços / Negócios,Produtos de Telefonia e Informática,"Acessórios e periféricos (monitor, impressora, pendrive, hd externo, cd dvd, outras midias, roteador, software, scanner etc)",Produto danificado / não funciona - Falta de assistência técnica / falta de informações sobre assistência técnica,2026-01-09,Não Avaliada,,2026,1
Google,BA,Salvador,Provedores de Conteúdo e Outros Serviços na Internet,Demais Serviços,"Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc)","Falta de clareza / transparência no uso dos dados pessoais ou financeiros (falta de informação sobre a finalidade, período de armazenamento ou compartilhamento)",2026-01-07,Não Avaliada,,2026,1
Loft,MS,Três Lagoas,"Construtoras, Incorporadoras e Imobiliárias",Serviços Financeiros,Seguro Residencial / Condomínio,Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-01-12,Não Avaliada,,2026,1
Mercado Livre,SP,São Caetano do Sul,Empresas de Intermediação de Serviços / Negócios,Demais Produtos,"Perfumaria, cosméticos e higiene pessoal",Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,2026-01-14,Resolvida,3.0,2026,1
Serasa Experian,SP,Miguelópolis,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Score / Pontuação de Crédito,Impossibilidade / dificuldade de revisão do score / pontuação,2026-01-07,Não Avaliada,,2026,1
Zurich Santander Seguros,MT,Cuiabá,"Seguros, Capitalização e Previdência",Serviços Financeiros,Demais Seguros,Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,2026-03-23,,,2026,3
Atacadão,SP,São Paulo,Supermercados,Demais Produtos,"Utilidades Domésticas e Decoração (para limpeza, cozinha, cama, mesa e banho, tapetes, cortinas, persianas, jardinagem etc)",Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-01-10,Não Avaliada,,2026,1
Faculdade Anhanguera,MG,Vespasiano,Estabelecimentos de Ensino,Educação,Superior ( Graduação e Pós ),Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,2026-02-17,Não Resolvida,1.0,2026,2
Enjoei,SP,Osasco,Comércio Eletrônico,Produtos Eletrodomésticos e Eletrônicos,"Acessório para eletroeletrônicos (pilhas, baterias etc)",Não entrega / demora na entrega do produto,2026-03-06,Não Resolvida,1.0,2026,3
Midway (Riachuelo),SP,Itatiba,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Negativação indevida referente à pagamento já efetuado,2026-01-05,Não Avaliada,,2026,1
Amazon.com.br,SP,Osasco,Comércio Eletrônico,Demais Produtos,"Vestuário e Artigos de Uso Pessoal (roupa, calçados, jóias, bijuterias, malas, bolsas, etc)",Não entrega / demora na entrega do produto,2026-01-13,Não Resolvida,1.0,2026,1
Serasa Experian,MG,Lagamar,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,"Dificuldade de acesso às informações cadastradas (score, histórico de crédito etc)",2026-01-04,Não Avaliada,,2026,1
Philips TV e Monitores,MG,Montes Claros,"Fabricantes - Eletroeletrônicos,  Produtos de Telefonia e Informática",Produtos Eletrodomésticos e Eletrônicos,Televisão,Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia,2026-01-04,Resolvida,4.0,2026,1
Vivo - Telefônica,SP,Guarulhos,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Internet Fixa,"Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda)",2026-01-11,Não Avaliada,,2026,1
Mercado Livre,CE,Umari,Empresas de Intermediação de Serviços / Negócios,Produtos de Telefonia e Informática,Aparelho celular,Não entrega / demora na entrega do produto,2026-01-02,Não Resolvida,1.0,2026,1
Banco Santander,SP,São Paulo,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),"Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)",2026-01-06,Não Resolvida,1.0,2026,1
Nubank,SP,Itapevi,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Negativação indevida referente à pagamento já efetuado,2026-01-09,Não Avaliada,,2026,1
Boa Vista Serviços - SCPC (Serviço Central de Proteção ao Crédito),SP,São Paulo,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,"Cobrança submetendo a ofensa, constrangimento ou ameaça",2026-02-26,Não Avaliada,,2026,2
Caixa Econômica Federal,GO,Anápolis,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Financiamento de Imóveis,Cobrança em duplicidade / Cobrança referente a pagamento já efetuado,2026-01-03,Resolvida,5.0,2026,1
Big Bet,RS,Santa Maria,"Empresas de Apostas, Loterias e Promoções Comerciais","Loterias, Apostas e Promoções Comerciais",Apostas,Dificuldade de ressarcimento / indenização por danos materiais causados,2026-01-12,Não Avaliada,,2026,1
Casasbahia.com,DF,Brasília,Comércio Eletrônico,Produtos Eletrodomésticos e Eletrônicos,"Lavadora de roupa, louça e secadora",Não entrega / demora na entrega do produto,2026-01-20,Não Resolvida,1.0,2026,1
Ativos S.A,MG,Belo Horizonte,Empresas de Recuperação de Crédito,Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,2026-03-20,Não Avaliada,,2026,3
Banco Pan,CE,Caucaia,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS),Não entrega do contrato ou documentação relacionada ao serviço,2026-01-07,,,2026,1
Banco Pan,PE,Petrolina,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Negativação indevida referente à pagamento já efetuado,2026-01-14,Não Avaliada,,2026,1
LG Electronics,RJ,Rio de Janeiro,"Fabricantes - Eletroeletrônicos,  Produtos de Telefonia e Informática",Produtos Eletrodomésticos e Eletrônicos,"Ar condicionado, ventilador e aquecedor",Dificuldade de contato / demora no atendimento,2026-01-14,Não Resolvida,1.0,2026,1
SKY,ES,Vila Velha,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,TV por Assinatura,SAC - Demanda não resolvida / não respondida / respondida após o prazo,2026-01-08,Não Avaliada,,2026,1
Serasa Experian,RS,Alvorada,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-01-04,Não Avaliada,,2026,1
Banco Pan,SP,São Paulo,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Cláusulas irregulares / abusivas / de interpretação dúbia,2026-03-28,Não Avaliada,,2026,3
QuintoAndar,SP,São Paulo,"Construtoras, Incorporadoras e Imobiliárias",Habitação,Aluguel de Imóvel,Má qualidade no atendimento (descortesia / despreparo/ constrangimento),2026-02-17,Não Avaliada,,2026,2
Smiles,BA,Salvador,Programas de Fidelidade,Transportes,Aéreo,Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-02-11,Resolvida,5.0,2026,2
Uber,SP,São Paulo,Empresas de Intermediação de Serviços / Negócios,Demais Serviços,Serviços de entrega / delivery,Má qualidade no atendimento (descortesia / despreparo/ constrangimento),2026-01-12,,,2026,1
Serasa Experian,PA,Ulianópolis,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Cadastro Positivo,Renegociação / parcelamento de dívida,2026-01-03,Não Avaliada,,2026,1
Picpay Instituição de Pagamento S/A,SP,Tupã,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Conta corrente / Salário / Poupança /Conta Aposentadoria,"Clonagem, fraude, furto e roubo",2026-03-18,Não Avaliada,,2026,3
Casas Bahia,ES,Serra,Varejo,Produtos Eletrodomésticos e Eletrônicos,"Ar condicionado, ventilador e aquecedor",Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-01-09,Não Avaliada,,2026,1
Bradescard,SP,São Paulo,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Cobrança em duplicidade / Cobrança referente a pagamento já efetuado,2026-01-14,Não Avaliada,,2026,1
Facebook / Instagram,PE,Recife,Provedores de Conteúdo e Outros Serviços na Internet,Demais Serviços,"Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc)",Informações incompletas / inadequadas sobre o serviço,2026-01-07,Não Avaliada,,2026,1
BrasilCard,PA,Marabá,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Renegociação / parcelamento de dívida,2026-01-14,Não Avaliada,,2026,1
Casasbahia.com,RJ,Rio de Janeiro,Comércio Eletrônico,Produtos Eletrodomésticos e Eletrônicos,"Aparelho de som, video e imagem ( Câmera, filmadora, dvd, home theater etc)",Não entrega / demora na entrega do produto,2026-01-05,Resolvida,3.0,2026,1
ARC4,SP,Ourinhos,Empresas de Recuperação de Crédito,Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),"Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)",2026-01-14,Não Avaliada,,2026,1
Britânia,SP,São Paulo,Fabricantes - Eletroportáteis e Artigos de Uso Doméstico e Pessoal,Produtos Eletrodomésticos e Eletrônicos,"Ar condicionado, ventilador e aquecedor","Vazamento de dados ou outros incidentes de segurança (acessos não autorizados e situações acidentais ou ilícitas de destruição, perda, alteração, comunicação ou tratamento inadequado ou ilícito)",2026-01-03,,,2026,1
Serasa Experian,RJ,Rio de Janeiro,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-01-07,Não Avaliada,,2026,1
Samsung - Loja Online,MG,Ipatinga,Comércio Eletrônico,Produtos Eletrodomésticos e Eletrônicos,"Acessório para eletroeletrônicos (pilhas, baterias etc)",Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia,2026-02-02,Não Resolvida,1.0,2026,2
Recovery do Brasil Consultoria,MG,Coronel Fabriciano,Empresas de Recuperação de Crédito,Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Dificuldade de contato / acesso a outros canais (exceto SAC),2026-01-09,Não Avaliada,,2026,1
Netshoes,RJ,Nova Iguaçu,Comércio Eletrônico,Demais Produtos,"Vestuário e Artigos de Uso Pessoal (roupa, calçados, jóias, bijuterias, malas, bolsas, etc)",Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,2026-01-12,Não Avaliada,,2026,1
Tim,PR,Palotina,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Telefonia Móvel Pós-paga,Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,2026-04-01,Resolvida,1.0,2026,4
Uber,ES,Serra,Empresas de Intermediação de Serviços / Negócios,Demais Serviços,Aplicativo de mobilidade urbana,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,2026-01-09,,,2026,1
Serasa Experian,DF,Brasília,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Score / Pontuação de Crédito,Negativação indevida referente a cobrança não reconhecida,2026-01-19,Não Resolvida,1.0,2026,1
Serasa Experian,PA,Marabá,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-01-06,Não Avaliada,,2026,1
Creditas,SP,Suzano,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Financiamentos de Veículos / Leasing,Busca e apreensão indevida,2026-02-22,,,2026,2
C6 Bank,SP,Itaquaquecetuba,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Demais Seguros,Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,2026-04-01,Não Avaliada,,2026,4
Banco Santander,ES,Vila Velha,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Financiamentos de Veículos / Leasing,"Dificuldade para obter boleto de quitação ou informações acerca de cálculos, pagamentos, saldo devedor",2026-01-21,Não Avaliada,,2026,1
Ativos S.A,SC,São José,Empresas de Recuperação de Crédito,Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,"Negativação indevida referente a tarifa, taxas não previstas contrato / serviço",2026-01-02,Não Resolvida,1.0,2026,1
Enel Distribuição São Paulo (Eletropaulo),SP,Cotia,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,"Negativação indevida (SPC, Serasa, SCPC etc)",2026-01-09,Não Avaliada,,2026,1
BRB - Banco de Brasília,RJ,Macaé,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS),Portabilidade não efetivada,2026-01-02,Não Avaliada,,2026,1
Banco Bradesco,PA,Tailândia,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-01-08,Não Avaliada,,2026,1
Serasa Experian,SP,Santa Cruz das Palmeiras,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-01-03,Não Avaliada,,2026,1
NIO,AC,Rio Branco,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Internet Fixa,Cobrança após cancelamento do serviço,2026-01-08,Resolvida,5.0,2026,1
Nubank,SP,São Paulo,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Cobrança de compra/saque não reconhecido,2026-01-08,,,2026,1
Ipanema,PE,Recife,Empresas de Recuperação de Crédito,Serviços Financeiros,Consulta / Monitoramento de CPF,Dificuldade de cancelamento / eliminação de dados / revogação do consentimento,2026-03-15,Não Avaliada,,2026,3
Serasa Experian,SP,São Paulo,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Score / Pontuação de Crédito,Dificuldade de contato / demora no atendimento,2026-01-08,Não Avaliada,,2026,1
Nubank,SP,Praia Grande,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Renegociação / parcelamento de dívida,2026-04-03,Não Avaliada,,2026,4
Serasa Experian,SC,Forquilhinha,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Score / Pontuação de Crédito,"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-03-15,Não Avaliada,,2026,3
Unimed Seguros Saúde,RJ,Rio de Janeiro,Operadoras de Planos de Saúde e Administradoras de Benefícios,Saúde,"Plano de Saúde (convênio, autogestão, seguro saúde )",Cobrança após cancelamento do serviço,2026-01-09,,,2026,1
Cartões Itaú,PB,João Pessoa,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Renegociação / parcelamento de dívida,2026-02-06,Não Avaliada,,2026,2
Serasa Experian,SP,Avanhandava,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-01-09,Não Avaliada,,2026,1
Toyota,BA,São Francisco do Conde,"Montadoras, Concessionárias e Prestadores de Serviços Automotivos",Demais Serviços,Serviços automotivos,"Risco, dano físico ou mal estar decorrente da prestação do serviço/utilização do produto",2026-01-12,Não Avaliada,,2026,1
Nubank,SP,São Paulo,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-01-02,Não Avaliada,,2026,1
Cartões Renner (Realize CFI),SC,Jaraguá do Sul,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,"Cobrança submetendo a ofensa, constrangimento ou ameaça",2026-01-05,Não Avaliada,,2026,1
Nubank,SP,São Paulo,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Conta corrente / Salário / Poupança /Conta Aposentadoria,Bloqueio / Suspensão indevida do serviço,2026-01-16,Resolvida,5.0,2026,1
Caixa Econômica Federal,RS,Porto Alegre,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,SAC - Dificuldade de contato / acesso,2026-01-04,Não Avaliada,,2026,1
Cemig,MG,Divinópolis,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Serviço não realizado no prazo ou incompleto,2026-01-08,,,2026,1
Claro Celular,SP,Santana de Parnaíba,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Telefonia Móvel Pós-paga,SAC - Demanda não resolvida / não respondida / respondida após o prazo,2026-01-05,Resolvida,5.0,2026,1
Caixa Econômica Federal,RS,Santa Cruz do Sul,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Renegociação / parcelamento de dívida,2026-01-29,Não Resolvida,1.0,2026,1
Purificador de Água Brastemp,RJ,Duque de Caxias,Fabricantes - Eletroportáteis e Artigos de Uso Doméstico e Pessoal,Demais Serviços,"Serviços por Assinatura (livros, vinhos etc)",Má qualidade do serviço,2026-01-13,Não Avaliada,,2026,1
Banco do Brasil,GO,Aparecida de Goiânia,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Negativação indevida referente à pagamento já efetuado,2026-01-05,Resolvida,5.0,2026,1
Parati Financeira,MG,Rio Paranaíba,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado (para servidores públicos ou trabalhadores do setor privado),Dificuldade de cancelamento / eliminação de dados / revogação do consentimento,2026-01-15,Não Avaliada,,2026,1
Vivo - Telefônica,SP,Igaratá,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Internet Móvel,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,2026-01-04,Resolvida,5.0,2026,1
Nubank,SP,Itapecerica da Serra,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-01-20,Não Avaliada,,2026,1
Itaú Seguros,SC,São José,"Seguros, Capitalização e Previdência",Serviços Financeiros,Seguro Viagem,SAC - Dificuldade de contato / acesso,2026-01-12,Não Avaliada,,2026,1
Recovery do Brasil Consultoria,PR,Foz do Iguaçu,Empresas de Recuperação de Crédito,Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,"Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)",2026-03-18,Não Avaliada,,2026,3
Centro Universitário FMU,SP,São Paulo,Estabelecimentos de Ensino,Educação,Superior ( Graduação e Pós ),Dificuldade de contato / demora no atendimento,2026-02-06,Não Avaliada,,2026,2
Cartões Itaú,PI,Teresina,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Renegociação / parcelamento de dívida,2026-01-14,Não Avaliada,,2026,1
Banco Pan,SP,São Roque,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Financiamentos de Veículos / Leasing,Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,2026-03-27,,,2026,3
Serasa Experian,SP,São Paulo,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,"Vazamento de dados ou outros incidentes de segurança (acessos não autorizados e situações acidentais ou ilícitas de destruição, perda, alteração, comunicação ou tratamento inadequado ou ilícito)",2026-01-11,Não Avaliada,,2026,1
Embasa,BA,Salvador,Agua e Saneamento,"Água, Energia, Gás",Água e Esgoto,Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-01-12,,,2026,1
Sabesp,SP,São Paulo,Agua e Saneamento,"Água, Energia, Gás",Água e Esgoto,"Alteração de odor, sabor e aspecto da água",2026-04-06,Não Resolvida,1.0,2026,4
Serasa Experian,RS,Cachoeirinha,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-01-12,Não Avaliada,,2026,1
Cardif Seguros e Garantias,MG,Ipatinga,"Seguros, Capitalização e Previdência",Serviços Financeiros,Demais Seguros,Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,2026-01-29,,,2026,1
Itaú Unibanco Consignado,MG,Nova Lima,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado (para servidores públicos ou trabalhadores do setor privado),Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,2026-01-05,,,2026,1
Claro Celular,RJ,São Gonçalo,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Produtos de Telefonia e Informática,Aparelho celular,Produto danificado / não funciona - Falta de assistência técnica / falta de informações sobre assistência técnica,2026-01-10,Não Avaliada,,2026,1
ARC4,SE,Nossa Senhora da Glória,Empresas de Recuperação de Crédito,Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),"Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)",2026-01-22,Não Avaliada,,2026,1
Banco XP,MG,Betim,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Renegociação / parcelamento de dívida,2026-01-14,Não Avaliada,,2026,1
Banco do Nordeste,MA,Pinheiro,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS),"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-01-23,Não Avaliada,,2026,1
Banco do Brasil,SC,Palhoça,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,"Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)",2026-01-12,Não Avaliada,,2026,1
Oi Fixo,AL,Maceió,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Negativação indevida referente a cobrança não reconhecida,2026-03-19,Não Avaliada,,2026,3
Capital Consig,RJ,Rio de Janeiro,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado (para servidores públicos ou trabalhadores do setor privado),Não entrega do contrato ou documentação relacionada ao serviço,2026-01-05,Não Avaliada,,2026,1
Expresso Nossa Senhora Da Penha,RJ,São Gonçalo,Transporte Terrestre,Transportes,Rodoviário interestadual / intermunicipal,"Risco, dano físico ou mal estar decorrente da prestação do serviço/utilização do produto",2026-01-08,Não Avaliada,,2026,1
Banco Santander,MT,Mirassol D'Oeste,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Negativação indevida referente à pagamento já efetuado,2026-01-01,Não Resolvida,5.0,2026,1
Claro Celular,PE,Recife,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Produtos de Telefonia e Informática,Aparelho celular,Dificuldade de cancelamento / eliminação de dados / revogação do consentimento,2026-03-21,,,2026,3
Vivo - Telefônica,PR,Curitiba,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Internet Fixa,"Negativação indevida (SPC, Serasa, SCPC etc)",2026-01-07,Não Resolvida,1.0,2026,1
Vivo - Telefônica,MG,Sete Lagoas,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Produtos de Telefonia e Informática,Aparelho celular,"Negativação indevida (SPC, Serasa, SCPC etc)",2026-01-12,Não Resolvida,1.0,2026,1
Banco Santander,ES,Vila Velha,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Dificuldade de acesso a dados pessoais ou financeiros,2026-01-10,Não Avaliada,,2026,1
Cartões Renner (Realize CFI),GO,Formosa,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,"Cobrança de tarifas, taxas, valores não previstos / não informados",2026-02-12,Não Resolvida,1.0,2026,2
Banco BTG Pactual,PA,Belém,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Atendimento Bancário,Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-01-14,Não Avaliada,,2026,1
Banco Agibank (Agiplan),DF,Brasília,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,2026-01-05,Não Avaliada,,2026,1
Credsystem,RJ,Seropédica,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Cartão não solicitado - Envio ou cobrança,2026-01-09,Resolvida,3.0,2026,1
Serasa Experian,BA,Salvador,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Score / Pontuação de Crédito,"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-01-03,Não Resolvida,2.0,2026,1
C&A Pay,AL,União dos Palmares,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,"Cobrança de tarifas, taxas, valores não previstos / não informados",2026-01-02,Não Avaliada,,2026,1
